system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,SCL,hours_from_measurement,measurement_idx,ndvi,ndwi,.geo
4355_0,0.516,0.5638000000000001,0.2124,0.1995,0.6005,0.5187,0.44930000000000003,0.44930000000000003,0.41090000000000004,0.3986,0.4174,0.379,1.4500000000000002,1.0,9,54.76434027777778,4355,-0.036806278,0.10821494,"{""type"":""MultiPoint"",""coordinates"":[]}"
4356_0,0.306,0.021400000000000002,0.0177,0.0165,0.0291,0.0439,0.0235,0.0563,0.0284,0.0297,0.0201,0.0167,0.0492,0.0,6,27.88652888888889,4356,-0.07798165,0.371875,"{""type"":""MultiPoint"",""coordinates"":[]}"
4357_0,0.306,0.021400000000000002,0.0177,0.0165,0.0291,0.0439,0.0235,0.0563,0.0284,0.0297,0.0201,0.0167,0.0492,0.0,6,17.53652888888889,4357,-0.07798165,0.371875,"{""type"":""MultiPoint"",""coordinates"":[]}"
4358_0,0.312,0.038700000000000005,0.0386,0.035300000000000005,0.046,0.0611,0.049800000000000004,0.09040000000000001,0.0594,0.0597,0.044700000000000004,0.0458,0.0286,0.0,6,26.989464166666668,4358,-0.053968254,0.15500945,"{""type"":""MultiPoint"",""coordinates"":[]}"
4359_0,0.312,0.038700000000000005,0.0386,0.035300000000000005,0.046,0.0611,0.049800000000000004,0.09040000000000001,0.0594,0.0597,0.044700000000000004,0.0458,0.0286,0.0,6,16.706130833333333,4359,-0.053968254,0.15500945,"{""type"":""MultiPoint"",""coordinates"":[]}"
4360_0,0.27,0.9462,0.4937,0.38280000000000003,0.8432000000000001,0.7501,0.6945,0.7802,0.7257,0.6900000000000001,0.6938000000000001,0.6713,1.6944000000000001,1.0,9,3.1400655555555557,4360,-5.042138E-4,0.03899162,"{""type"":""MultiPoint"",""coordinates"":[]}"
4361_0,0.27,0.9462,0.4937,0.38280000000000003,0.8432000000000001,0.7501,0.6945,0.7802,0.7257,0.6900000000000001,0.6938000000000001,0.6713,1.6944000000000001,1.0,9,6.709934444444444,4361,-5.042138E-4,0.03899162,"{""type"":""MultiPoint"",""coordinates"":[]}"
4362_0,0.28800000000000003,0.1438,0.1464,0.1135,0.19790000000000002,0.1773,0.1422,0.1696,0.1476,0.1438,0.17950000000000002,0.1268,0.21980000000000002,0.0,6,3.0212708333333333,4362,0.11594653,-0.0061659194,"{""type"":""MultiPoint"",""coordinates"":[]}"
4363_0,0.28800000000000003,0.1438,0.1464,0.1135,0.19790000000000002,0.1773,0.1422,0.1696,0.1476,0.1438,0.17950000000000002,0.1268,0.21980000000000002,0.0,6,6.045395833333333,4363,0.11594653,-0.0061659194,"{""type"":""MultiPoint"",""coordinates"":[]}"
4364_0,0.444,0.12350000000000001,0.1063,0.0762,0.1459,0.1509,0.1346,0.1436,0.1699,0.1966,0.17650000000000002,0.18730000000000002,0.0536,0.65,8,26.970485833333335,4364,0.13468339,-0.07819182,"{""type"":""MultiPoint"",""coordinates"":[]}"
4365_0,0.444,0.12350000000000001,0.1063,0.0762,0.1459,0.1509,0.1346,0.1436,0.1699,0.1966,0.17650000000000002,0.18730000000000002,0.0536,0.65,8,17.070485833333333,4365,0.13468339,-0.07819182,"{""type"":""MultiPoint"",""coordinates"":[]}"
4366_0,1.056,0.7664000000000001,0.26730000000000004,0.2713,0.6266,0.6256,0.6225,0.7293000000000001,0.7363000000000001,0.7504000000000001,0.6797000000000001,0.7406,0.5653,0.65,8,26.73852777777778,4366,0.043925665,-0.04144641,"{""type"":""MultiPoint"",""coordinates"":[]}"
4367_0,1.056,0.7664000000000001,0.26730000000000004,0.2713,0.6266,0.6256,0.6225,0.7293000000000001,0.7363000000000001,0.7504000000000001,0.6797000000000001,0.7406,0.5653,0.65,8,17.105194444444443,4367,0.043925665,-0.04144641,"{""type"":""MultiPoint"",""coordinates"":[]}"
4368_0,0.24,0.8520000000000001,0.31670000000000004,0.3527,0.8420000000000001,0.748,0.6717000000000001,0.7392000000000001,0.6799000000000001,0.6482,0.6695,0.6236,1.6454,1.0,9,27.319150555555556,4368,-0.0016403222,0.05537919,"{""type"":""MultiPoint"",""coordinates"":[]}"
4369_0,0.24,0.8520000000000001,0.31670000000000004,0.3527,0.8420000000000001,0.748,0.6717000000000001,0.7392000000000001,0.6799000000000001,0.6482,0.6695,0.6236,1.6454,1.0,9,17.319150555555556,4369,-0.0016403222,0.05537919,"{""type"":""MultiPoint"",""coordinates"":[]}"
4370_0,0.138,0.275,0.3024,0.2867,0.3173,0.30410000000000004,0.2795,0.32120000000000004,0.317,0.3265,0.30360000000000004,0.3183,0.3879,0.92,9,3.0197075,4370,0.041330818,8.2277437E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4371_0,0.138,0.275,0.3024,0.2867,0.3173,0.30410000000000004,0.2795,0.32120000000000004,0.317,0.3265,0.30360000000000004,0.3183,0.3879,0.92,9,6.446959166666667,4371,0.041330818,8.2277437E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4372_0,0.744,0.749,0.1472,0.1593,0.6571,0.6535000000000001,0.6546000000000001,0.7034,0.7155,0.7276,0.6997,0.7214,0.44160000000000005,0.65,8,26.8543375,4372,0.033301335,-0.034141295,"{""type"":""MultiPoint"",""coordinates"":[]}"
4373_0,0.324,0.0244,0.010400000000000001,0.0067,0.022000000000000002,0.030100000000000002,0.020800000000000003,0.0517,0.0342,0.0342,0.0222,0.023200000000000002,0.0,0.0,6,52.069991944444446,4373,0.03255814,0.15105163,"{""type"":""MultiPoint"",""coordinates"":[]}"
4374_0,0.336,0.6838000000000001,0.34040000000000004,0.2827,0.6234000000000001,0.5564,0.5052,0.5415,0.5019,0.4943,0.49060000000000004,0.4691,1.0773000000000001,1.0,9,44.69733083333333,4374,-0.014661578,0.06284623,"{""type"":""MultiPoint"",""coordinates"":[]}"
4375_0,0.336,0.6838000000000001,0.34040000000000004,0.2827,0.6234000000000001,0.5564,0.5052,0.5415,0.5019,0.4943,0.49060000000000004,0.4691,1.0773000000000001,1.0,9,53.080664166666665,4375,-0.014661578,0.06284623,"{""type"":""MultiPoint"",""coordinates"":[]}"
4376_0,0.258,0.0328,0.0081,0.0063,0.0342,0.0414,0.0268,0.061000000000000006,0.0409,0.0413,0.0317,0.0239,0.0173,0.0,6,44.180884444444445,4376,0.083760686,0.13269494,"{""type"":""MultiPoint"",""coordinates"":[]}"
4377_0,0.258,0.0328,0.0081,0.0063,0.0342,0.0414,0.0268,0.061000000000000006,0.0409,0.0413,0.0317,0.0239,0.0173,0.0,6,52.614217777777775,4377,0.083760686,0.13269494,"{""type"":""MultiPoint"",""coordinates"":[]}"
4378_0,0.355,0.0359,0.0408,0.0351,0.0396,0.059500000000000004,0.0455,0.0922,0.0687,0.0666,0.052500000000000005,0.050800000000000005,0.0876,0.0,6,20.261971388888888,4378,0.071428575,0.0625,"{""type"":""MultiPoint"",""coordinates"":[]}"
4379_0,0.355,0.0359,0.0408,0.0351,0.0396,0.059500000000000004,0.0455,0.0922,0.0687,0.0666,0.052500000000000005,0.050800000000000005,0.0876,0.0,6,30.211971388888887,4379,0.071428575,0.0625,"{""type"":""MultiPoint"",""coordinates"":[]}"
4380_0,0.462,0.08310000000000001,0.0892,0.0704,0.08800000000000001,0.1115,0.09730000000000001,0.139,0.13290000000000002,0.1373,0.1307,0.128,0.31980000000000003,0.08,10,44.562195555555554,4380,0.14649123,-0.07927333,"{""type"":""MultiPoint"",""coordinates"":[]}"
4381_0,0.462,0.08310000000000001,0.0892,0.0704,0.08800000000000001,0.1115,0.09730000000000001,0.139,0.13290000000000002,0.1373,0.1307,0.128,0.31980000000000003,0.08,10,54.22886222222222,4381,0.14649123,-0.07927333,"{""type"":""MultiPoint"",""coordinates"":[]}"
4382_0,0.444,0.0,0.0021000000000000003,0.0032,0.0,0.0195,0.0,0.018600000000000002,0.0059,0.0071,0.0031000000000000003,0.0,0.0,0.0,6,4.152566388888889,4382,1.0,0.7256637,"{""type"":""MultiPoint"",""coordinates"":[]}"
4383_0,0.444,0.0,0.0021000000000000003,0.0032,0.0,0.0195,0.0,0.018600000000000002,0.0059,0.0071,0.0031000000000000003,0.0,0.0,0.0,6,4.830766944444444,4383,1.0,0.7256637,"{""type"":""MultiPoint"",""coordinates"":[]}"
4384_0,0.509,0.0239,0.0076,0.0058000000000000005,0.031200000000000002,0.053000000000000005,0.0223,0.053700000000000005,0.0475,0.0477,0.0334,0.020800000000000003,0.010400000000000001,0.0,6,26.986043055555555,4384,0.19928187,0.22685185,"{""type"":""MultiPoint"",""coordinates"":[]}"
4385_0,0.509,0.0239,0.0076,0.0058000000000000005,0.031200000000000002,0.053000000000000005,0.0223,0.053700000000000005,0.0475,0.0477,0.0334,0.020800000000000003,0.010400000000000001,0.0,6,18.319376388888887,4385,0.19928187,0.22685185,"{""type"":""MultiPoint"",""coordinates"":[]}"
4386_0,0.756,0.23190000000000002,0.0405,0.0324,0.201,0.1882,0.1356,0.16390000000000002,0.12940000000000002,0.11270000000000001,0.08850000000000001,0.07780000000000001,0.0916,0.0,6,20.596827222222224,4386,-0.21017402,0.36031803,"{""type"":""MultiPoint"",""coordinates"":[]}"
4387_0,0.756,0.23190000000000002,0.0405,0.0324,0.201,0.1882,0.1356,0.16390000000000002,0.12940000000000002,0.11270000000000001,0.08850000000000001,0.07780000000000001,0.0916,0.0,6,29.930160555555556,4387,-0.21017402,0.36031803,"{""type"":""MultiPoint"",""coordinates"":[]}"
4388_0,0.516,0.08850000000000001,0.0241,0.021400000000000002,0.07740000000000001,0.0825,0.054400000000000004,0.077,0.061700000000000005,0.055200000000000006,0.040100000000000004,0.034300000000000004,0.0791,0.0,10,3.9857880555555556,4388,-0.15132275,0.34584013,"{""type"":""MultiPoint"",""coordinates"":[]}"
4389_0,0.516,0.08850000000000001,0.0241,0.021400000000000002,0.07740000000000001,0.0825,0.054400000000000004,0.077,0.061700000000000005,0.055200000000000006,0.040100000000000004,0.034300000000000004,0.0791,0.0,10,6.014211944444445,4389,-0.15132275,0.34584013,"{""type"":""MultiPoint"",""coordinates"":[]}"
4390_0,0.462,0.0358,0.0161,0.015600000000000001,0.033600000000000005,0.0522,0.0281,0.0548,0.056,0.0565,0.0413,0.029500000000000002,0.0217,0.0,6,44.76272,4390,0.19020173,0.11657754,"{""type"":""MultiPoint"",""coordinates"":[]}"
4391_0,0.462,0.0358,0.0161,0.015600000000000001,0.033600000000000005,0.0522,0.0281,0.0548,0.056,0.0565,0.0413,0.029500000000000002,0.0217,0.0,6,55.01272,4391,0.19020173,0.11657754,"{""type"":""MultiPoint"",""coordinates"":[]}"
4392_0,1.098,0.1335,0.0816,0.0747,0.13240000000000002,0.1264,0.0974,0.1356,0.0668,0.061700000000000005,0.0507,0.047,0.3262,0.13,10,27.087098333333333,4392,-0.3153275,0.42744213,"{""type"":""MultiPoint"",""coordinates"":[]}"
4393_0,1.098,0.1335,0.0816,0.0747,0.13240000000000002,0.1264,0.0974,0.1356,0.0668,0.061700000000000005,0.0507,0.047,0.3262,0.13,10,17.553765,4393,-0.3153275,0.42744213,"{""type"":""MultiPoint"",""coordinates"":[]}"
4394_0,0.27,0.8665,0.4842,0.3841,0.797,0.7106,0.6577000000000001,0.7314,0.6872,0.6595000000000001,0.654,0.646,1.6944000000000001,1.0,9,27.256732222222222,4394,-0.002820767,0.041477356,"{""type"":""MultiPoint"",""coordinates"":[]}"
4395_0,0.27,0.8665,0.4842,0.3841,0.797,0.7106,0.6577000000000001,0.7314,0.6872,0.6595000000000001,0.654,0.646,1.6944000000000001,1.0,9,18.32339888888889,4395,-0.002820767,0.041477356,"{""type"":""MultiPoint"",""coordinates"":[]}"
4396_0,0.28200000000000003,0.1416,0.1552,0.1258,0.16790000000000002,0.1791,0.15460000000000002,0.1967,0.1837,0.1883,0.1771,0.1739,0.19590000000000002,0.0,6,26.754604166666667,4396,0.06783238,0.005614823,"{""type"":""MultiPoint"",""coordinates"":[]}"
4397_0,0.28200000000000003,0.1416,0.1552,0.1258,0.16790000000000002,0.1791,0.15460000000000002,0.1967,0.1837,0.1883,0.1771,0.1739,0.19590000000000002,0.0,6,18.154604166666665,4397,0.06783238,0.005614823,"{""type"":""MultiPoint"",""coordinates"":[]}"
4398_0,0.444,0.1414,0.1116,0.0805,0.1544,0.1592,0.14250000000000002,0.14700000000000002,0.1781,0.20420000000000002,0.1845,0.199,0.0608,0.65,8,51.153819166666665,4398,0.12844037,-0.07361071,"{""type"":""MultiPoint"",""coordinates"":[]}"
4399_0,0.444,0.1414,0.1116,0.0805,0.1544,0.1592,0.14250000000000002,0.14700000000000002,0.1781,0.20420000000000002,0.1845,0.199,0.0608,0.65,8,41.903819166666665,4399,0.12844037,-0.07361071,"{""type"":""MultiPoint"",""coordinates"":[]}"
4400_0,0.138,0.06570000000000001,0.0398,0.032600000000000004,0.06570000000000001,0.07930000000000001,0.0597,0.08800000000000001,0.0678,0.0713,0.0653,0.0601,0.2001,0.0,10,21.177215277777776,4400,0.0448,0.09681881,"{""type"":""MultiPoint"",""coordinates"":[]}"
4401_0,0.138,0.06570000000000001,0.0398,0.032600000000000004,0.06570000000000001,0.07930000000000001,0.0597,0.08800000000000001,0.0678,0.0713,0.0653,0.0601,0.2001,0.0,10,31.060548611111113,4401,0.0448,0.09681881,"{""type"":""MultiPoint"",""coordinates"":[]}"
4402_0,0.642,0.5845,0.3134,0.2431,0.42410000000000003,0.4173,0.4046,0.46830000000000005,0.511,0.5395,0.47350000000000003,0.5366000000000001,0.2366,1.0,9,50.588569166666666,4402,0.078464866,-0.063089356,"{""type"":""MultiPoint"",""coordinates"":[]}"
4403_0,0.642,0.5845,0.3134,0.2431,0.42410000000000003,0.4173,0.4046,0.46830000000000005,0.511,0.5395,0.47350000000000003,0.5366000000000001,0.2366,1.0,9,41.43856916666667,4403,0.078464866,-0.063089356,"{""type"":""MultiPoint"",""coordinates"":[]}"
4404_0,0.168,0.38770000000000004,0.1331,0.1338,0.3443,0.31880000000000003,0.28200000000000003,0.3432,0.3426,0.34140000000000004,0.3281,0.3307,1.5979,0.45,8,20.295300277777777,4404,0.07556138,-0.014376256,"{""type"":""MultiPoint"",""coordinates"":[]}"
4405_0,0.168,0.38770000000000004,0.1331,0.1338,0.3443,0.31880000000000003,0.28200000000000003,0.3432,0.3426,0.34140000000000004,0.3281,0.3307,1.5979,0.45,8,30.42863361111111,4405,0.07556138,-0.014376256,"{""type"":""MultiPoint"",""coordinates"":[]}"
4406_0,0.54,0.2534,0.10020000000000001,0.09050000000000001,0.22010000000000002,0.2041,0.1633,0.19890000000000002,0.16190000000000002,0.15560000000000002,0.1547,0.1441,0.7666000000000001,0.65,8,27.270866388888887,4406,-0.027044024,0.13768116,"{""type"":""MultiPoint"",""coordinates"":[]}"
4407_0,0.33,0.2967,0.1267,0.1067,0.2702,0.24500000000000002,0.2134,0.2346,0.2112,0.2051,0.20400000000000001,0.1913,0.4509,0.65,8,44.730945,4407,-0.022520363,0.09131403,"{""type"":""MultiPoint"",""coordinates"":[]}"
4408_0,0.336,0.5181,0.27030000000000004,0.20090000000000002,0.4999,0.458,0.4176,0.44380000000000003,0.4152,0.4091,0.4,0.38320000000000004,0.5959,1.0,9,27.369335833333334,4408,-0.021526419,0.067599066,"{""type"":""MultiPoint"",""coordinates"":[]}"
