sample_idx,sample_dt,pond_id,region,farm,morning,hour,do_mg_per_L,ph,turbidity_cm,ammonia_mg_per_L,do_winkler,prev_matches_time,prev_sample_dt,prev_do_mg_per_L,prev_ph,prev_turbidity_cm,prev_ammonia_mg_per_L,prev_individuals_air_gulping,prev_individuals_tail_splashing,prev_dead_fish,prev_feed_amount_kg,prev_stocking_density_per_acre,prev_weight,prev_species_catla,prev_species_rohu,prev_species_roopchand,prev_species_grass_carp,prev_species_pangasius,prev_species_whiteleg_shrimp
8809,2025-02-10 16:14:00+05:30,NL-SMS1,NL,NL-SMS,False,16,9.0,8.34,,,True,True,2025-01-04 16:45:00+05:30,8.4,8.41,,,0.0,0.0,0.0,,2907.0,600.0,True,True,False,False,False,False
9120,2025-03-12 06:38:00+05:30,NL-SMS1,NL,NL-SMS,True,6,3.7,7.96,,0.14,True,True,2025-02-10 08:18:00+05:30,3.9,8.03,,0.14,0.0,0.0,0.0,40.0,2907.0,700.0,True,True,False,False,False,False
9121,2025-03-12 16:37:00+05:30,NL-SMS1,NL,NL-SMS,False,16,10.5,8.29,,,True,True,2025-02-10 16:14:00+05:30,9.0,8.34,,,0.0,0.0,0.0,,2907.0,700.0,True,True,False,False,False,False
8672,2025-01-31 08:11:00+05:30,NL-SRI1,NL,NL-SRI,True,8,3.8,7.83,,0.23,True,,,,,,,,,,,,,,,,,,
8673,2025-01-31 16:37:00+05:30,NL-SRI1,NL,NL-SRI,False,16,9.4,8.27,,,True,,,,,,,,,,,,,,,,,,
8986,2025-02-26 07:53:00+05:30,NL-SRI1,NL,NL-SRI,True,7,4.2,8.08,,0.14,True,True,2025-01-31 08:11:00+05:30,3.8,7.83,,0.23,0.0,0.0,0.0,30.0,909.0,550.0,True,True,False,False,False,False
8987,2025-03-03 17:14:00+05:30,NL-SRI1,NL,NL-SRI,False,17,10.1,8.38,,,True,True,2025-01-31 16:37:00+05:30,9.4,8.27,,,0.0,0.0,0.0,,909.0,550.0,True,True,False,False,False,False
9038,2025-03-06 07:23:00+05:30,NL-SRI1,NL,NL-SRI,True,7,3.5,7.94,,0.05,True,True,2025-02-26 07:53:00+05:30,4.2,8.08,,0.14,0.0,0.0,0.0,30.0,909.0,650.0,True,True,False,False,False,False
9039,2025-03-06 16:47:00+05:30,NL-SRI1,NL,NL-SRI,False,16,10.3,8.28,,,True,True,2025-03-03 17:14:00+05:30,10.1,8.38,,,0.0,0.0,0.0,,909.0,650.0,True,True,False,False,False,False
8569,2025-01-21 07:03:00+05:30,NL-SRZ1,NL,NL-SRZ,True,7,3.4,7.93,,0.2,True,,,,,,,,,,,,,,,,,,
